Rank,Name,Symbol,marketcap,price (USD),country,page numbers,Report link,sector,industry
1092,Fastned,FAST.AS,485746957,25.1241,Netherlands,,,,
1094,Formycon AG,FYB.DE,480583297,27.1932,Germany,,,,
1095,Prothena,PRTA,479625152,8.91,Ireland,,,,
1096,Immobiliare Grande Distribuzione SIIQ,IGD.MI,477478601,4.32726,Italy,,,,
1097,Uzin Utz,UZU.DE,477116983,94.585,Germany,,,,
1098,Medios AG,ILM1.DE,476029899,19.2717,Germany,,,,
1099,Plastika Kritis,PLAKR.AT,472613299,17.2618,Greece,,,,
1100,Sygnity,SGN.WA,471610178,20.7411,Poland,,,,
1101,HOMAG Group,HG1.F,471122261,30.0307,Germany,,,,
1102,PlayWay,PLW.WA,469869381,71.1923,Poland,,,,
1104,Nyab AB,NYAB.ST,465742466,0.654356,Sweden,,,,
1106,Hamborner REIT,HABA.DE,461631677,5.6751,Germany,,,,
1107,Patrimoine et Commerce SA,PAT.PA,453821641,28.612,France,,,,
1109,Talgo S.A.,TLGO.MC,451390201,3.38141,Spain,,,,
1111,Globe Trade Centre,GTC.WA,445845219,0.776389,Poland,,,,
1112,XANO Industri,XANO-B.ST,443357707,7.47518,Sweden,,,,
1114,Delta Plus Group,ALDLT.PA,440280170,61.4803,France,,,,
1115,Seco S.p.A.,IOT.MI,437073776,3.29865,Italy,,,,
1116,Eisen- und Hüttenwerke,EIS.F,436982747,24.8286,Germany,,,,
1117,Fonciere Inea,INEA.PA,435019314,40.1986,France,,,,
1119,Borussia Dortmund,BVB.F,431390049,3.85434,Germany,,,,
1122,STEICO SE,ST5.DE,423769448,30.0899,Germany,,,,
1124,Bonduelle,BON.PA,421089363,13.0764,France,,,,
1125,Enento Group,ENENTO.HE,420327197,17.7583,Finland,,,,
1126,Aramis Group,ARAMI.PA,416957095,5.07803,France,,,,
1127,Creotech Instruments,CRI.WA,416815753,146.028,Poland,,,,
1130,eDreams ODIGEO,EDR.MC,411659465,3.84252,Spain,,,,
1131,Selectirente,SELER.PA,410832565,98.7231,France,,,,
1132,Alantra Partners,ALNT.MC,406835326,10.6408,Spain,,,,
1134,Ascencio,ASCE.BR,403963196,61.2438,Belgium,,,,
1135,TXT e-solutions,TXT.MI,403768616,31.8633,Italy,,,,
1136,PCC Rokita,PCR.WA,401762497,20.2366,Poland,,,,
1137,Mirbud S.A.,MRB.WA,401454677,3.6465,Poland,,,,
1140,2CRSI,AL2SI.PA,392759261,17.5692,France,,,,
1141,Fastighets AB Trianon,TRIAN-B.ST,392612811,2.12943,Sweden,,,,
1142,Baader Bank,BWB.DE,392317019,8.03973,Germany,,,,
1143,Bijou Brigitte,BIJ.DE,390696740,52.14,Germany,,,,
1144,Byggmax Group,BMAX.ST,388817998,6.63229,Sweden,,,,
1145,Gérard Perrier Industrie S.A.,PERR.PA,388459653,102.861,France,,,,
1146,PharmaSGP,PSG.DE,387716280,33.6779,Germany,,,,
1149,Simona,SIM0.F,383069291,63.8449,Germany,,,,
1151,Brinova Fastigheter,BRIN-B.ST,379235652,1.64698,Sweden,,,,
1152,Knowit,KNOW.ST,378564285,13.8635,Sweden,,,,
1153,Euroseas,ESEA,374853728,53.5,Greece,,,,
1154,Gaumont SA,GAM.PA,371982112,119.414,France,,,,
1156,Ercros,ECR.MC,370263654,4.04942,Spain,,,,
1158,Shoper,SHO.WA,369838807,13.1454,Poland,,,,
1159,VIB Vermögen,VIH1.F,369704921,11.1847,Germany,,,,
1160,Relais Group Oyj,RELAIS.HE,369451585,20.0402,Finland,,,,
1161,Generalfinance,GF.MI,368983389,29.2031,Italy,,,,
1163,JDC Group AG,JDC.DE,368355496,28.3755,Germany,,,,
1164,OVB Holding,O4B.DE,367319298,25.7744,Germany,,,,
1165,Cellectis,CLLS,364638016,3.57,France,,,,
1166,Eagle Football Group,EFG.PA,364010866,2.22275,France,,,,
1167,Equita Group,EQUI.MI,360991296,7.04658,Italy,,,,
1168,Stalprodukt,STP.WA,359440090,70.6318,Poland,,,,
1169,Inmobiliaria del Sur,ISUR.MC,358739341,19.6264,Spain,,,,
1170,Lubawa,LBW.WA,358006323,2.38242,Poland,,,,
